prolificId,type,measure,value
5f567ed454a3b50b805354db,feedback,How accurate did you find the predictions?,4
5f567ed454a3b50b805354db,feedback,How helpful did you find the predictions?,3
5f567ed454a3b50b805354db,feedback,Do you prefer user-driven or computer supported selections?,3
5f567ed454a3b50b805354db,feedback,How experienced are you with scatterplots?,2
5f567ed454a3b50b805354db,feedback,How experienced are you with statistics?,2
5f567ed454a3b50b805354db,demographics,birthCountry,Portugal
5f567ed454a3b50b805354db,demographics,employment,Other
5f567ed454a3b50b805354db,demographics,nationality,Portugal
5f567ed454a3b50b805354db,demographics,sex,Male
5f567ed454a3b50b805354db,demographics,student,Yes
5f567ed454a3b50b805354db,results,averageAccuracy,0.807072521316219
5d1a69d8f97a18001977e0d7,feedback,How helpful is the “individual selection” of points feature?,5
5d1a69d8f97a18001977e0d7,feedback,How helpful is the rectangle selection feature?,4
5d1a69d8f97a18001977e0d7,feedback,How helpful is the paintbrush feature?,4
5d1a69d8f97a18001977e0d7,feedback,How easy was the prediction interface to use?,3
5d1a69d8f97a18001977e0d7,feedback,How accurate did you find the predictions?,4
5d1a69d8f97a18001977e0d7,feedback,How helpful did you find the predictions?,3
5d1a69d8f97a18001977e0d7,feedback,Do you prefer user-driven or computer supported selections?,2
5d1a69d8f97a18001977e0d7,feedback,How experienced are you with scatterplots?,4
5d1a69d8f97a18001977e0d7,feedback,How experienced are you with statistics?,4
5d1a69d8f97a18001977e0d7,demographics,birthCountry,United Kingdom
5d1a69d8f97a18001977e0d7,demographics,employment,Full-Time
5d1a69d8f97a18001977e0d7,demographics,nationality,United Kingdom
5d1a69d8f97a18001977e0d7,demographics,sex,Male
5d1a69d8f97a18001977e0d7,demographics,student,No
5d1a69d8f97a18001977e0d7,results,averageAccuracy,0.7950213675213675
5f26aaed7bb0bd4121461b6d,feedback,How helpful is the “individual selection” of points feature?,2
5f26aaed7bb0bd4121461b6d,feedback,How helpful is the rectangle selection feature?,3
5f26aaed7bb0bd4121461b6d,feedback,How helpful is the paintbrush feature?,3
5f26aaed7bb0bd4121461b6d,feedback,How easy was the prediction interface to use?,5
5f26aaed7bb0bd4121461b6d,feedback,How accurate did you find the predictions?,5
5f26aaed7bb0bd4121461b6d,feedback,How helpful did you find the predictions?,5
5f26aaed7bb0bd4121461b6d,feedback,Do you prefer user-driven or computer supported selections?,5
5f26aaed7bb0bd4121461b6d,feedback,How experienced are you with scatterplots?,1
5f26aaed7bb0bd4121461b6d,feedback,How experienced are you with statistics?,1
5f26aaed7bb0bd4121461b6d,demographics,birthCountry,Poland
5f26aaed7bb0bd4121461b6d,demographics,employment,Unemployed (and job seeking)
5f26aaed7bb0bd4121461b6d,demographics,nationality,Poland
5f26aaed7bb0bd4121461b6d,demographics,sex,Male
5f26aaed7bb0bd4121461b6d,demographics,student,Yes
5f26aaed7bb0bd4121461b6d,results,averageAccuracy,0.511629192619976
5e58fa19fc38d6104f798878,feedback,How helpful is the “individual selection” of points feature?,3
5e58fa19fc38d6104f798878,feedback,How helpful is the rectangle selection feature?,1
5e58fa19fc38d6104f798878,feedback,How helpful is the paintbrush feature?,5
5e58fa19fc38d6104f798878,feedback,How easy was the prediction interface to use?,5
5e58fa19fc38d6104f798878,feedback,How accurate did you find the predictions?,4
5e58fa19fc38d6104f798878,feedback,How helpful did you find the predictions?,5
5e58fa19fc38d6104f798878,feedback,Do you prefer user-driven or computer supported selections?,5
5e58fa19fc38d6104f798878,feedback,How experienced are you with scatterplots?,1
5e58fa19fc38d6104f798878,feedback,How experienced are you with statistics?,1
5e58fa19fc38d6104f798878,demographics,birthCountry,Poland
5e58fa19fc38d6104f798878,demographics,employment,Unemployed (and job seeking)
5e58fa19fc38d6104f798878,demographics,nationality,Poland
5e58fa19fc38d6104f798878,demographics,sex,Male
5e58fa19fc38d6104f798878,demographics,student,Yes
5e58fa19fc38d6104f798878,results,averageAccuracy,0.8289955982392959
5c66bbd0d0fb37000172fdfe,feedback,How helpful is the “individual selection” of points feature?,1
5c66bbd0d0fb37000172fdfe,feedback,How helpful is the rectangle selection feature?,2
5c66bbd0d0fb37000172fdfe,feedback,How helpful is the paintbrush feature?,5
5c66bbd0d0fb37000172fdfe,feedback,How easy was the prediction interface to use?,3
5c66bbd0d0fb37000172fdfe,feedback,How accurate did you find the predictions?,4
5c66bbd0d0fb37000172fdfe,feedback,How helpful did you find the predictions?,5
5c66bbd0d0fb37000172fdfe,feedback,Do you prefer user-driven or computer supported selections?,5
5c66bbd0d0fb37000172fdfe,feedback,How experienced are you with scatterplots?,3
5c66bbd0d0fb37000172fdfe,feedback,How experienced are you with statistics?,3
5c66bbd0d0fb37000172fdfe,demographics,birthCountry,United Kingdom
5c66bbd0d0fb37000172fdfe,demographics,employment,Unemployed (and job seeking)
5c66bbd0d0fb37000172fdfe,demographics,nationality,United Kingdom
5c66bbd0d0fb37000172fdfe,demographics,sex,Male
5c66bbd0d0fb37000172fdfe,demographics,student,Yes
5c66bbd0d0fb37000172fdfe,results,averageAccuracy,0.7657194392908678
5b1efc25bdf4e1000163af46,feedback,How helpful is the “individual selection” of points feature?,5
5b1efc25bdf4e1000163af46,feedback,How helpful is the rectangle selection feature?,1
5b1efc25bdf4e1000163af46,feedback,How helpful is the paintbrush feature?,5
5b1efc25bdf4e1000163af46,feedback,How easy was the prediction interface to use?,3
5b1efc25bdf4e1000163af46,feedback,How accurate did you find the predictions?,3
5b1efc25bdf4e1000163af46,feedback,How helpful did you find the predictions?,4
5b1efc25bdf4e1000163af46,feedback,Do you prefer user-driven or computer supported selections?,2
5b1efc25bdf4e1000163af46,feedback,How experienced are you with scatterplots?,3
5b1efc25bdf4e1000163af46,feedback,How experienced are you with statistics?,3
5b1efc25bdf4e1000163af46,demographics,birthCountry,United Kingdom
5b1efc25bdf4e1000163af46,demographics,employment,Full-Time
5b1efc25bdf4e1000163af46,demographics,nationality,United Kingdom
5b1efc25bdf4e1000163af46,demographics,sex,Female
5b1efc25bdf4e1000163af46,demographics,student,No
5b1efc25bdf4e1000163af46,results,averageAccuracy,0.6087615559044129
5dd58b43149f5354a6124a41,feedback,How helpful is the “individual selection” of points feature?,2
5dd58b43149f5354a6124a41,feedback,How helpful is the rectangle selection feature?,1
5dd58b43149f5354a6124a41,feedback,How helpful is the paintbrush feature?,5
5dd58b43149f5354a6124a41,feedback,How easy was the prediction interface to use?,5
5dd58b43149f5354a6124a41,feedback,How accurate did you find the predictions?,5
5dd58b43149f5354a6124a41,feedback,How helpful did you find the predictions?,4
5dd58b43149f5354a6124a41,feedback,Do you prefer user-driven or computer supported selections?,4
5dd58b43149f5354a6124a41,feedback,How experienced are you with scatterplots?,3
5dd58b43149f5354a6124a41,feedback,How experienced are you with statistics?,5
5dd58b43149f5354a6124a41,demographics,birthCountry,Portugal
5dd58b43149f5354a6124a41,demographics,employment,Full-Time
5dd58b43149f5354a6124a41,demographics,nationality,Portugal
5dd58b43149f5354a6124a41,demographics,sex,Male
5dd58b43149f5354a6124a41,demographics,student,No
5dd58b43149f5354a6124a41,results,averageAccuracy,0.8326360544217687
5edc195a95d5090e1c3f91b2,feedback,How helpful is the “individual selection” of points feature?,2
5edc195a95d5090e1c3f91b2,feedback,How helpful is the rectangle selection feature?,3
5edc195a95d5090e1c3f91b2,feedback,How helpful is the paintbrush feature?,5
5edc195a95d5090e1c3f91b2,feedback,How easy was the prediction interface to use?,5
5edc195a95d5090e1c3f91b2,feedback,How accurate did you find the predictions?,4
5edc195a95d5090e1c3f91b2,feedback,How helpful did you find the predictions?,4
5edc195a95d5090e1c3f91b2,feedback,Do you prefer user-driven or computer supported selections?,4
5edc195a95d5090e1c3f91b2,feedback,How experienced are you with scatterplots?,5
5edc195a95d5090e1c3f91b2,feedback,How experienced are you with statistics?,4
5edc195a95d5090e1c3f91b2,demographics,birthCountry,United States
5edc195a95d5090e1c3f91b2,demographics,employment,Full-Time
5edc195a95d5090e1c3f91b2,demographics,nationality,United States
5edc195a95d5090e1c3f91b2,demographics,sex,Male
5edc195a95d5090e1c3f91b2,demographics,student,No
5edc195a95d5090e1c3f91b2,results,averageAccuracy,0.837216886754702
5d02ed8f7a3c0f0015cd3230,feedback,How helpful is the “individual selection” of points feature?,5
5d02ed8f7a3c0f0015cd3230,feedback,How helpful is the rectangle selection feature?,2
5d02ed8f7a3c0f0015cd3230,feedback,How helpful is the paintbrush feature?,5
5d02ed8f7a3c0f0015cd3230,feedback,How easy was the prediction interface to use?,5
5d02ed8f7a3c0f0015cd3230,feedback,How accurate did you find the predictions?,4
5d02ed8f7a3c0f0015cd3230,feedback,How helpful did you find the predictions?,5
5d02ed8f7a3c0f0015cd3230,feedback,Do you prefer user-driven or computer supported selections?,4
5d02ed8f7a3c0f0015cd3230,feedback,How experienced are you with scatterplots?,4
5d02ed8f7a3c0f0015cd3230,feedback,How experienced are you with statistics?,4
5d02ed8f7a3c0f0015cd3230,demographics,birthCountry,Portugal
5d02ed8f7a3c0f0015cd3230,demographics,employment,"Not in paid work (e.g. homemaker', 'retired or disabled)"
5d02ed8f7a3c0f0015cd3230,demographics,nationality,Portugal
5d02ed8f7a3c0f0015cd3230,demographics,sex,Male
5d02ed8f7a3c0f0015cd3230,demographics,student,Yes
5d02ed8f7a3c0f0015cd3230,results,averageAccuracy,0.8709353741496598
5e9627e6434ee20a82a7d296,feedback,How helpful is the “individual selection” of points feature?,1
5e9627e6434ee20a82a7d296,feedback,How helpful is the rectangle selection feature?,4
5e9627e6434ee20a82a7d296,feedback,How helpful is the paintbrush feature?,5
5e9627e6434ee20a82a7d296,feedback,How easy was the prediction interface to use?,5
5e9627e6434ee20a82a7d296,feedback,How accurate did you find the predictions?,4
5e9627e6434ee20a82a7d296,feedback,How helpful did you find the predictions?,1
5e9627e6434ee20a82a7d296,feedback,Do you prefer user-driven or computer supported selections?,1
5e9627e6434ee20a82a7d296,feedback,How experienced are you with scatterplots?,4
5e9627e6434ee20a82a7d296,feedback,How experienced are you with statistics?,2
5e9627e6434ee20a82a7d296,demographics,birthCountry,United Kingdom
5e9627e6434ee20a82a7d296,demographics,employment,"Not in paid work (e.g. homemaker', 'retired or disabled)"
5e9627e6434ee20a82a7d296,demographics,nationality,United Kingdom
5e9627e6434ee20a82a7d296,demographics,sex,Female
5e9627e6434ee20a82a7d296,demographics,student,Yes
5e9627e6434ee20a82a7d296,results,averageAccuracy,0.5756361604470849
5d169044530c4b001a528043,feedback,How helpful is the “individual selection” of points feature?,1
5d169044530c4b001a528043,feedback,How helpful is the rectangle selection feature?,3
5d169044530c4b001a528043,feedback,How helpful is the paintbrush feature?,5
5d169044530c4b001a528043,feedback,How easy was the prediction interface to use?,5
5d169044530c4b001a528043,feedback,How accurate did you find the predictions?,4
5d169044530c4b001a528043,feedback,How helpful did you find the predictions?,5
5d169044530c4b001a528043,feedback,Do you prefer user-driven or computer supported selections?,5
5d169044530c4b001a528043,feedback,How experienced are you with scatterplots?,1
5d169044530c4b001a528043,feedback,How experienced are you with statistics?,2
5d169044530c4b001a528043,demographics,birthCountry,Greece
5d169044530c4b001a528043,demographics,employment,Part-Time
5d169044530c4b001a528043,demographics,nationality,United Kingdom
5d169044530c4b001a528043,demographics,sex,Female
5d169044530c4b001a528043,demographics,student,Yes
5d169044530c4b001a528043,results,averageAccuracy,0.6425408753244888
5d470786da637a00014ba26f,feedback,How helpful is the “individual selection” of points feature?,3
5d470786da637a00014ba26f,feedback,How helpful is the rectangle selection feature?,2
5d470786da637a00014ba26f,feedback,How helpful is the paintbrush feature?,5
5d470786da637a00014ba26f,feedback,How easy was the prediction interface to use?,4
5d470786da637a00014ba26f,feedback,How accurate did you find the predictions?,2
5d470786da637a00014ba26f,feedback,How helpful did you find the predictions?,2
5d470786da637a00014ba26f,feedback,Do you prefer user-driven or computer supported selections?,1
5d470786da637a00014ba26f,feedback,How experienced are you with scatterplots?,1
5d470786da637a00014ba26f,feedback,How experienced are you with statistics?,1
5d470786da637a00014ba26f,demographics,birthCountry,United Kingdom
5d470786da637a00014ba26f,demographics,employment,Full-Time
5d470786da637a00014ba26f,demographics,nationality,United Kingdom
5d470786da637a00014ba26f,demographics,sex,Male
5d470786da637a00014ba26f,demographics,student,No
5d470786da637a00014ba26f,results,averageAccuracy,0.7372367982894298
5f479154dc1bde17b64d7eb5,feedback,How helpful is the “individual selection” of points feature?,1
5f479154dc1bde17b64d7eb5,feedback,How helpful is the rectangle selection feature?,4
5f479154dc1bde17b64d7eb5,feedback,How helpful is the paintbrush feature?,5
5f479154dc1bde17b64d7eb5,feedback,How easy was the prediction interface to use?,5
5f479154dc1bde17b64d7eb5,feedback,How accurate did you find the predictions?,5
5f479154dc1bde17b64d7eb5,feedback,How helpful did you find the predictions?,5
5f479154dc1bde17b64d7eb5,feedback,Do you prefer user-driven or computer supported selections?,4
5f479154dc1bde17b64d7eb5,feedback,How experienced are you with scatterplots?,4
5f479154dc1bde17b64d7eb5,feedback,How experienced are you with statistics?,4
5f479154dc1bde17b64d7eb5,demographics,birthCountry,United States
5f479154dc1bde17b64d7eb5,demographics,employment,Full-Time
5f479154dc1bde17b64d7eb5,demographics,nationality,United States
5f479154dc1bde17b64d7eb5,demographics,sex,Female
5f479154dc1bde17b64d7eb5,demographics,student,No
5f479154dc1bde17b64d7eb5,results,averageAccuracy,0.82349909194447
5f1ea02746999b87b4489f36,feedback,How helpful is the “individual selection” of points feature?,4
5f1ea02746999b87b4489f36,feedback,How helpful is the rectangle selection feature?,1
5f1ea02746999b87b4489f36,feedback,How helpful is the paintbrush feature?,3
5f1ea02746999b87b4489f36,feedback,How easy was the prediction interface to use?,4
5f1ea02746999b87b4489f36,feedback,How accurate did you find the predictions?,5
5f1ea02746999b87b4489f36,feedback,How helpful did you find the predictions?,5
5f1ea02746999b87b4489f36,feedback,Do you prefer user-driven or computer supported selections?,3
5f1ea02746999b87b4489f36,feedback,How experienced are you with scatterplots?,2
5f1ea02746999b87b4489f36,feedback,How experienced are you with statistics?,3
5f1ea02746999b87b4489f36,demographics,birthCountry,Poland
5f1ea02746999b87b4489f36,demographics,employment,Unemployed (and job seeking)
5f1ea02746999b87b4489f36,demographics,nationality,Poland
5f1ea02746999b87b4489f36,demographics,sex,Male
5f1ea02746999b87b4489f36,demographics,student,Yes
5f1ea02746999b87b4489f36,results,averageAccuracy,0.5650741920699904
5c77e56ad5dd7600016c00d3,feedback,How helpful is the “individual selection” of points feature?,3
5c77e56ad5dd7600016c00d3,feedback,How helpful is the rectangle selection feature?,2
5c77e56ad5dd7600016c00d3,feedback,How helpful is the paintbrush feature?,5
5c77e56ad5dd7600016c00d3,feedback,How easy was the prediction interface to use?,4
5c77e56ad5dd7600016c00d3,feedback,How accurate did you find the predictions?,2
5c77e56ad5dd7600016c00d3,feedback,How helpful did you find the predictions?,4
5c77e56ad5dd7600016c00d3,feedback,Do you prefer user-driven or computer supported selections?,4
5c77e56ad5dd7600016c00d3,feedback,How experienced are you with scatterplots?,1
5c77e56ad5dd7600016c00d3,feedback,How experienced are you with statistics?,3
5c77e56ad5dd7600016c00d3,demographics,birthCountry,Estonia
5c77e56ad5dd7600016c00d3,demographics,employment,Full-Time
5c77e56ad5dd7600016c00d3,demographics,nationality,Estonia
5c77e56ad5dd7600016c00d3,demographics,sex,Female
5c77e56ad5dd7600016c00d3,demographics,student,No
5c77e56ad5dd7600016c00d3,results,averageAccuracy,0.8416208791208792
5bbc3d95f1f9ba000141d855,feedback,How helpful is the “individual selection” of points feature?,5
5bbc3d95f1f9ba000141d855,feedback,How helpful is the rectangle selection feature?,1
5bbc3d95f1f9ba000141d855,feedback,How helpful is the paintbrush feature?,5
5bbc3d95f1f9ba000141d855,feedback,How easy was the prediction interface to use?,5
5bbc3d95f1f9ba000141d855,feedback,How accurate did you find the predictions?,3
5bbc3d95f1f9ba000141d855,feedback,How helpful did you find the predictions?,4
5bbc3d95f1f9ba000141d855,feedback,Do you prefer user-driven or computer supported selections?,1
5bbc3d95f1f9ba000141d855,feedback,How experienced are you with scatterplots?,2
5bbc3d95f1f9ba000141d855,feedback,How experienced are you with statistics?,3
5bbc3d95f1f9ba000141d855,demographics,birthCountry,United Kingdom
5bbc3d95f1f9ba000141d855,demographics,employment,Full-Time
5bbc3d95f1f9ba000141d855,demographics,nationality,United Kingdom
5bbc3d95f1f9ba000141d855,demographics,sex,Female
5bbc3d95f1f9ba000141d855,demographics,student,No
5bbc3d95f1f9ba000141d855,results,averageAccuracy,0.5833929183531843
5c5f33a97ba8710001f5e24d,feedback,How helpful is the “individual selection” of points feature?,1
5c5f33a97ba8710001f5e24d,feedback,How helpful is the rectangle selection feature?,1
5c5f33a97ba8710001f5e24d,feedback,How helpful is the paintbrush feature?,5
5c5f33a97ba8710001f5e24d,feedback,How easy was the prediction interface to use?,5
5c5f33a97ba8710001f5e24d,feedback,How accurate did you find the predictions?,3
5c5f33a97ba8710001f5e24d,feedback,How helpful did you find the predictions?,4
5c5f33a97ba8710001f5e24d,feedback,Do you prefer user-driven or computer supported selections?,2
5c5f33a97ba8710001f5e24d,feedback,How experienced are you with scatterplots?,1
5c5f33a97ba8710001f5e24d,feedback,How experienced are you with statistics?,2
5c5f33a97ba8710001f5e24d,demographics,birthCountry,Poland
5c5f33a97ba8710001f5e24d,demographics,employment,Part-Time
5c5f33a97ba8710001f5e24d,demographics,nationality,Poland
5c5f33a97ba8710001f5e24d,demographics,sex,Male
5c5f33a97ba8710001f5e24d,demographics,student,No
5c5f33a97ba8710001f5e24d,results,averageAccuracy,0.7561170784103115
5e84b9cd3c01b3072fac9470,feedback,How helpful is the “individual selection” of points feature?,3
5e84b9cd3c01b3072fac9470,feedback,How helpful is the rectangle selection feature?,2
5e84b9cd3c01b3072fac9470,feedback,How helpful is the paintbrush feature?,5
5e84b9cd3c01b3072fac9470,feedback,How easy was the prediction interface to use?,3
5e84b9cd3c01b3072fac9470,feedback,How accurate did you find the predictions?,4
5e84b9cd3c01b3072fac9470,feedback,How helpful did you find the predictions?,4
5e84b9cd3c01b3072fac9470,feedback,Do you prefer user-driven or computer supported selections?,4
5e84b9cd3c01b3072fac9470,feedback,How experienced are you with scatterplots?,1
5e84b9cd3c01b3072fac9470,feedback,How experienced are you with statistics?,2
5e84b9cd3c01b3072fac9470,demographics,birthCountry,Poland
5e84b9cd3c01b3072fac9470,demographics,employment,Other
5e84b9cd3c01b3072fac9470,demographics,nationality,Poland
5e84b9cd3c01b3072fac9470,demographics,sex,Female
5e84b9cd3c01b3072fac9470,demographics,student,Yes
5e84b9cd3c01b3072fac9470,results,averageAccuracy,0.7201242804814234
5eff4206a352be49f1aef4cc,feedback,How helpful is the “individual selection” of points feature?,4
5eff4206a352be49f1aef4cc,feedback,How helpful is the rectangle selection feature?,2
5eff4206a352be49f1aef4cc,feedback,How helpful is the paintbrush feature?,5
5eff4206a352be49f1aef4cc,feedback,How easy was the prediction interface to use?,5
5eff4206a352be49f1aef4cc,feedback,How accurate did you find the predictions?,4
5eff4206a352be49f1aef4cc,feedback,How helpful did you find the predictions?,4
5eff4206a352be49f1aef4cc,feedback,Do you prefer user-driven or computer supported selections?,5
5eff4206a352be49f1aef4cc,feedback,How experienced are you with scatterplots?,1
5eff4206a352be49f1aef4cc,feedback,How experienced are you with statistics?,2
5eff4206a352be49f1aef4cc,demographics,birthCountry,Poland
5eff4206a352be49f1aef4cc,demographics,employment,"Not in paid work (e.g. homemaker', 'retired or disabled)"
5eff4206a352be49f1aef4cc,demographics,nationality,Poland
5eff4206a352be49f1aef4cc,demographics,sex,Male
5eff4206a352be49f1aef4cc,demographics,student,Yes
5eff4206a352be49f1aef4cc,results,averageAccuracy,0.8294557823129252
558996f2fdf99b7ae47f5ed2,feedback,How helpful is the “individual selection” of points feature?,3
558996f2fdf99b7ae47f5ed2,feedback,How helpful is the rectangle selection feature?,3
558996f2fdf99b7ae47f5ed2,feedback,How helpful is the paintbrush feature?,5
558996f2fdf99b7ae47f5ed2,feedback,How easy was the prediction interface to use?,5
558996f2fdf99b7ae47f5ed2,feedback,How accurate did you find the predictions?,3
558996f2fdf99b7ae47f5ed2,feedback,How helpful did you find the predictions?,3
558996f2fdf99b7ae47f5ed2,feedback,Do you prefer user-driven or computer supported selections?,4
558996f2fdf99b7ae47f5ed2,feedback,How experienced are you with scatterplots?,2
558996f2fdf99b7ae47f5ed2,feedback,How experienced are you with statistics?,2
558996f2fdf99b7ae47f5ed2,demographics,birthCountry,United Kingdom
558996f2fdf99b7ae47f5ed2,demographics,employment,Part-Time
558996f2fdf99b7ae47f5ed2,demographics,nationality,United Kingdom
558996f2fdf99b7ae47f5ed2,demographics,sex,Male
558996f2fdf99b7ae47f5ed2,demographics,student,No
558996f2fdf99b7ae47f5ed2,results,averageAccuracy,0.8391176470588235
5f5a81a437f71115c1346b6c,feedback,How helpful is the “individual selection” of points feature?,1
5f5a81a437f71115c1346b6c,feedback,How helpful is the rectangle selection feature?,2
5f5a81a437f71115c1346b6c,feedback,How helpful is the paintbrush feature?,5
5f5a81a437f71115c1346b6c,feedback,How easy was the prediction interface to use?,5
5f5a81a437f71115c1346b6c,feedback,How accurate did you find the predictions?,4
5f5a81a437f71115c1346b6c,feedback,How helpful did you find the predictions?,5
5f5a81a437f71115c1346b6c,feedback,Do you prefer user-driven or computer supported selections?,1
5f5a81a437f71115c1346b6c,feedback,How experienced are you with scatterplots?,1
5f5a81a437f71115c1346b6c,feedback,How experienced are you with statistics?,2
5f5a81a437f71115c1346b6c,demographics,birthCountry,United Kingdom
5f5a81a437f71115c1346b6c,demographics,employment,Part-Time
5f5a81a437f71115c1346b6c,demographics,nationality,United Kingdom
5f5a81a437f71115c1346b6c,demographics,sex,Female
5f5a81a437f71115c1346b6c,demographics,student,Yes
5f5a81a437f71115c1346b6c,results,averageAccuracy,0.8318908076050935
5ebbf07bf4722202325ceec1,feedback,How helpful is the “individual selection” of points feature?,2
5ebbf07bf4722202325ceec1,feedback,How helpful is the rectangle selection feature?,2
5ebbf07bf4722202325ceec1,feedback,How helpful is the paintbrush feature?,5
5ebbf07bf4722202325ceec1,feedback,How easy was the prediction interface to use?,5
5ebbf07bf4722202325ceec1,feedback,How accurate did you find the predictions?,4
5ebbf07bf4722202325ceec1,feedback,How helpful did you find the predictions?,4
5ebbf07bf4722202325ceec1,feedback,Do you prefer user-driven or computer supported selections?,2
